"Fire, Police, Ambulance: 000",Y,Y,Y,Y,Y,Y
Warrandyte Police: 9844 3231,Y,Y,Y,Y,Y,Y
"Manningham Council: 9840 9333
Nillumbik Council: 9433 3111",Y,Y,Y,Y,Y,Y
Insurance Company,Y,Y,Y,Y,Y,Y
Doctor,Y,Y,Y,Y,Y,Y
Vet,,,,,Y,
School,,,Y,,,
Victorian Bushfire Information Line: 1800 240 667,Y,Y,Y,Y,Y,Y
Family,Y,Y,Y,Y,Y,Y
Neighbours,Y,Y,Y,Y,Y,Y
Friends,Y,Y,Y,Y,Y,Y
